Timestamp,Tanggal,Pesawat ,Status,Jumlah Penumpang,Jumlah Cargo,Load Factor, Harga Tiket Tertinggi (Departure),Nama Petugas Posko,Remark,Destination ( From - To),Kode Penerbangan, Harga Tiket Terendah (Departure)
22/12/2024 9:29:41,22/12/2024,Wing air,Departure,41,3,56, Rp 1.357.550 ,Heriyanto,Berjadwal,AAP-BEJ,IW-1486,
22/12/2024 9:35:56,22/12/2024,Super Air Jet,Arrival,180,1093,98, Rp 1.456.780 ,Heriyanto,Berjadwal,SUB-AAP,IU-640,
22/12/2024 9:50:17,22/12/2024,Citilink,Arrival,172,2599,95, Rp 1.359.623 ,Vidya Alviani,Berjadwal,SUB-AAP,QG-460,
22/12/2024 10:13:42,22/12/2024,Super Air Jet,Departure,181,1591,97, Rp 1.456.780 ,Heriyanto,Berjadwal,AAP-YIA,IU-659,
22/12/2024 11:06:42,22/12/2024,Citilink,Departure,179,256,99, Rp 1.359.623 ,Vidya Alviani,Berjadwal,AAP-SUB,QG-461,
22/12/2024 12:14:20,22/12/2024,Wing air,Arrival,72,0,100, Rp 1.357.550 ,Karlin,Berjadwal,BEJ - AAP,IW 1485,
22/12/2024 12:30:36,22/12/2024,Batik Air,Arrival,146,1453,95, Rp 1.944.800 ,Ummu,Berjadwal,CGK - AAP,ID 6256,
22/12/2024 13:18:36,22/12/2024,Wing air,Departure,71,0,99, Rp 1.357.550 ,Elfandro,Berjadwal,AAP - BEJ,IW 1484,
22/12/2024 13:22:03,22/12/2024,Super Air Jet,Arrival,178,657,99, Rp 1.395.700 ,Karlin,Berjadwal,SUB - AAP,IU 642,
22/12/2024 13:23:59,22/12/2024,Super Air Jet,Departure,182,232,100, Rp 1.395.700 ,Elfandro,Berjadwal,AAP - SUB,IU 641,
22/12/2024 13:26:21,22/12/2024,Super Air Jet,Arrival,169,12,94, Rp 1.103.540 ,UMMU,Berjadwal,UPG - AAP,IU 533,
22/12/2024 17:24:54,22/12/2024,Super Air Jet,Departure,185,379,100, Rp 1.103.540 ,UMMU,Berjadwal,AAP-UPG,IU532,
22/12/2024 17:28:10,22/12/2024,Citilink,Arrival,179,1930,99, Rp 1.656.029 ,PRAYUDA,Berjadwal,CGK-AAP,QG 422,
