Timestamp;Tanggal;Pesawat;Status;Jumlah Penumpang;Jumlah Cargo;Load Factor; Harga Tiket Tertinggi (Departure);Nama Petugas Posko;Status 2;Destination ( From - To);Kode Penerbangan; Harga Tiket Terendah (Departure)
3/27/2025 12:17:38;27 March 2025;Wing air;Arrival;73;5;100; Rp1.418.700 ;KEMAL;Berjadwal;BEJ-AAP;IW1485; Rp1.234.400 
3/21/2025 13:14:19;21 March 2025;Citilink;Departure;179;245;100;;Khanina;Berjadwal;AAP-CGK;QG423;
3/21/2025 13:19:03;21 March 2025;Wing air;Arrival;69;9;93;;Khanina;Berjadwal;BEJ-AAP;IW1485;
3/21/2025 13:23:24;21 March 2025;Batik Air;Arrival;122;3028;78;;Khanina;Berjadwal;CGK-AAP;ID6256;
3/21/2025 14:16:52;21 March 2025;Super Air Jet;Arrival;122;3916;67;;Khanina;Berjadwal;YIA-AAP;IU658;
4/10/2025 16:17:02;10/04/2025;Citilink;Departure;124;428;68; Rp1.447.550 ;KHARISMA;Berjadwal;AAP - CGK;QG422; Rp1.368.600 
4/10/2025 18:31:57;10/04/2025;Batik Air;Departure;128;0;80; Rp1.840.700 ;KHARISMA;Berjadwal;AAP-CGK;ID6677; Rp1.751.500 
4/10/2025 18:34:11;10/04/2025;Smart Aviation;Arrival;10;62;75;;KHARISMA;Perintis;WALW-AAP;PK-SNT;
4/1/2025 10:45:42;1 April 2025;Smart Aviation;Departure;2;0;17; Rp718.760 ;Kuling;Perintis;AAP-DTD;PK-SNT;
4/1/2025 10:51:39;1 April 2025;Citilink;Arrival;92;186;51; Rp1.518.515 ;Kuling;Berjadwal;SUB-AAP;QG461; Rp1.518.515 
3/31/2025 16:49:45;31 March 2025;Smart Aviation;Arrival;12;0;100; Rp521.160 ;LEON;Perintis;MHU-AAP;PK SNT; Rp-   
3/21/2025 11:27:09;21 March 2025;Smart Aviation;Arrival;12;0;100; Rp700.360 ;M. Sapriansyah, Mutia Rachmi dan Karmining;Berjadwal;(RTU-AAP);PKSNT; Rp700.360 
3/21/2025 9:38:25;21 March 2025;Batik Air;Departure;152;1060;96; Rp2.110.700 ;M.Sapriansyah, Mutia Rachmi dan Karmining;Berjadwal;(AAP-CKG);ID 6673; Rp1.518.600 
3/21/2025 9:44:59;21 March 2025;Smart Aviation;Departure;5;0;42; Rp710.360 ;M.Sapriansyah, Mutia Rachmi dan Karmining;Berjadwal;(AAP-RTU);PK-SNT; Rp700.360 
3/21/2025 9:48:51;21 March 2025;Super Air Jet;Departure;188;3;93; Rp1.584.500 ;M.Sapriansyah, Mutia Rachmi dan karmining;Berjadwal;(AAP-YIA);IU659; Rp1.584.500 
3/21/2025 9:50:22;21 March 2025;Citilink;Arrival;101;2597;56; Rp1.518.600 ;M.Sapriansyah, Mutia Rachmi dan karmining;Berjadwal;(SUB-AAP);QG460; Rp1.518.600 
3/21/2025 11:24:27;21 March 2025;Citilink;Departure;186;391;100; Rp1.518.600 ;M.Sapriansyah, Mutia Rachmi dan Karmining;Berjadwal;(AAP-SUB);QG461; Rp1.518.600 
3/21/2025 11:28:42;21 March 2025;Smart Aviation;Departure;5;0;42; Rp724.920 ;M.Sapriansyah, Mutia Rachmi dan Karmining;Berjadwal;(AAP-DTD);PKSNT; Rp714.920 
3/21/2025 9:37:03;21 March 2025;Batik Air;Arrival;42;3018;27; Rp2.110.700 ;M.Sapriansyah, Mutia Rachmi, Karmining;Berjadwal;(CGK-AAP);ID 6672; Rp1.518.600 
3/21/2025 9:47:08;21 March 2025;Super Air Jet;Arrival;179;1705;99; Rp1.518.600 ;M.Sapriansyah, Mutia Rachmi, karmining;Berjadwal;(SUB-AAP);IU640; Rp1.518.600 
3/25/2025 9:53:06;25 March 2025;Smart Aviation;Departure;11;0;92; Rp747.920 ;Mahrus, Jaenal, Danti;Perintis;AAP-DTD;PK-SNT;
3/25/2025 10:08:41;25 March 2025;Batik Air;Arrival;39;3212;25; Rp1.840.700 ;Mahrus, Jaenal, Danti;Berjadwal;CGK-AAP;ID6672;
3/25/2025 10:11:20;25 March 2025;Batik Air;Departure;157;592;101; Rp1.840.700 ;Mahrus, Jaenal, Danti;Berjadwal;AAP-CGK;ID6673;
3/25/2025 10:17:32;25 March 2025;Super Air Jet;Arrival;169;1445;94; Rp1.379.180 ;Mahrus, Jaenal, Danti;Berjadwal;SUB-AAP;IU640;
3/25/2025 10:24:15;25 March 2025;Super Air Jet;Departure;186;21;103; Rp1.379.180 ;Mahrus, Jaenal, Danti;Berjadwal;AAP-YIA;IU659;
3/25/2025 10:32:25;25 March 2025;Citilink;Arrival;109;1526;61;;Mahrus, Jaenal, Danti;Berjadwal;SUB-AAP;QG460;
3/25/2025 11:44:11;25 March 2025;Citilink;Departure;186;492;103; Rp1.518.515 ;Mahrus, Jaenal, Danti;Berjadwal;AAP-SUB;QG461;
3/25/2025 11:48:58;25 March 2025;Batik Air;Arrival;81;2708;52; Rp1.840.700 ;Mahrus, Jaenal, Danti;Berjadwal;CGK-AAP;ID6256;
4/5/2025 14:40:08;5 April 2025;Wing air;Arrival;74;3;-; Rp-   ;Masdiansyah;Berjadwal;BEJ-AAP;IW1485;-
4/5/2025 14:30:50;5 April 2025;Batik Air;Departure;154;339;-; Rp1.840.700 ;Masdiyansah;Berjadwal;AAP-CGK;ID6257; Rp1.393.180 
4/11/2025 9:06:21;11/04/2025;Super Air Jet;Arrival;182;392;98;;MELLYARTI RAHMAN;Berjadwal;SUB-AAP;IU 640;
4/11/2025 9:55:46;11/04/2025;Super Air Jet;Departure;177;4;96; Rp1.584.600 ;MELLYARTI RAHMAN;Berjadwal;AAP-YIA;IU 659; Rp1.584.600 
4/11/2025 11:13:20;11/04/2025;Citilink;Departure;147;414;81; Rp1.518.515 ;MELLYARTI RAHMAN;Berjadwal;AAP-SUB;QG 461; Rp912.455 
3/26/2025 8:36:58;26 March 2025;Super Air Jet;Arrival;109;903;61;-;MISNO;Berjadwal;SUB - AAP;IU640;-
3/26/2025 11:27:27;26 March 2025;Smart Aviation;Arrival;12;0;100;;MISNO;Perintis;LPU-AAP;PK-SNV;
3/26/2025 12:00:12;26 March 2025;Smart Aviation;Departure;5;0;33; Rp740.960 ;MISNO;Perintis;AAP-LPU;PK-SNV;
3/23/2025 12:32:19;23 March 2025;Wing air;Arrival;66;7;92;;MUHAMMAD GHANI ISTIJAR;Perintis;KALIMARAU-AAP;IW1485;
3/23/2025 12:40:54;23 March 2025;Batik Air;Arrival;130;3078;83;;MUHAMMAD GHANI ISTIJAR;Berjadwal;JAKARTA-AAP;ID6256;
3/23/2025 12:44:23;23 March 2025;Super Air Jet;Arrival;181;974;101;;MUHAMMAD GHANI ISTIJAR;Berjadwal;SUB-AAP;IU642;
3/23/2025 16:44:33;23 March 2025;Citilink;Departure;185;179;103; Rp1.799.345 ;MUHAMMAD GHANI ISTIJAR;Berjadwal;AAP-CGK;QG423; Rp1.216.515 
4/2/2025 12:18:41;2 April 2025;;Departure;-;-;-;;Muhammad Naim;Tidak Berjadwal;-;-;
3/31/2025 9:28:29;31 March 2025;Smart Aviation;Departure;10;0;83; Rp747.320 ;MUSA HERRY;Perintis;AAP-LPU;PK-SNT;
3/31/2025 14:45:47;31 March 2025;Citilink;Arrival;96;1109;53; Rp1.799.345 ;PARMEN LEON;Berjadwal;CGK-AAP;PK GQS; Rp-   
3/31/2025 16:21:54;31 March 2025;Smart Aviation;Departure;3;0;25; Rp521.160 ;PARMEN LEON;Perintis;AAP-MHU;PK SNT ; Rp-   
4/5/2025 9:50:05;5 April 2025;Super Air Jet;Departure;182;4;99; Rp1.397.180 ;Rahmat Tjipto;tidak Berjadwal;AAP YIA;IU659; Rp1.046.180 
4/5/2025 11:21:25;5 April 2025;Batik Air;Arrival;128;1266;81; Rp1.840.700 ;Rahmat Tjipto;Berjadwal;CGK AAP;ID 6256; Rp1.394.700 
3/22/2025 9:53:54;22 March 2025;Super Air Jet;Departure;182;2;100; Rp1.584.500 ;RERE;Berjadwal;(AAP-YIA);IU659;-
3/22/2025 10:30:00;22 March 2025;Smart Aviation;Departure;1;0;0; Rp-   ;RERE;Tidak Berjadwal;AAP - BPN;PK-SNT; Rp-   
3/22/2025 9:47:47;22 March 2025;Citilink;Arrival;145;2581;80;;RERE EFFENDY G;Berjadwal;SUB-AAP;QG460;
4/6/2025 11:58:26;06/04/2025;Citilink;Departure;184;156;99; Rp1.518.515 ;RIDUAN;Berjadwal;AAP-SUB;QG41;-
3/25/2025 14:03:38;25 March 2025;Super Air Jet;Arrival;166;335;92;;Rindra, Danayu;Berjadwal;SUB-AAP;IU642;-
3/25/2025 14:06:56;25 March 2025;Batik Air;Departure;159;0;99; Rp1.840.700 ;Rindra, Danayu;Berjadwal;AAP-CGK;ID6257;
3/25/2025 14:11:49;25 March 2025;Wing air;Arrival;75;4;100;;Rindra, Danayu;Berjadwal;BEJ-AAP;IW1485;
3/25/2025 14:14:17;25 March 2025;Wing air;Departure;76;46;100; Rp1.067.100 ;Rindra, Danayu;Berjadwal;AAP-BEJ;IW1484;
3/25/2025 15:03:09;25 March 2025;Citilink;Arrival;134;2652;74;;Rindra, Danayu;Berjadwal;CGK-AAP;QG422;
3/25/2025 15:09:36;25 March 2025;Super Air Jet;Departure;182;1495;101; Rp1.321.130 ;Rindra, Danayu;Berjadwal;AAP-SUB;IU643;
3/25/2025 15:20:28;25 March 2025;Smart Aviation;Arrival;11;0;91;;Rindra, Danayu;Perintis;DTD-AAP;PKSNT;
3/25/2025 15:25:38;25 March 2025;Smart Aviation;Departure;11;0;91; Rp740.000 ;Rindra, Danayu;Perintis;AAP-LPU;PKSNT; Rp740.000 
3/25/2025 14:10:10;25 March 2025;Super Air Jet;Arrival;142;2799;78;;Rindra, Danayu;Berjadwal;YIA-AAP;IU658;
3/25/2025 15:52:58;25 March 2025;Citilink;Departure;179;329;99; Rp1.799.345 ;Rindra, Danayu;Berjadwal;AAP-CGK;QG423; Rp1.216.565 
3/25/2025 13:39:29;25 March 2025;Super Air Jet;Departure;183;241;101; Rp1.321.130 ;Rindra, Danayu;Berjadwal;AAP-SUB;IU641;
3/25/2025 16:47:15;25 March 2025;Smart Aviation;Arrival;11;0;91;;Rindra, Danayu;Perintis;LPU-AAP;PK-SNT;
3/25/2025 17:03:34;25 March 2025;Batik Air;Arrival;92;963;58;;Rindra, Danayu;Berjadwal;CGK-AAP;IU6676;
3/25/2025 17:56:46;25 March 2025;Batik Air;Departure;156;963;100; Rp1.840.700 ;Rindra, Danayu;Berjadwal;AAP-CGK;IU6677;
4/6/2025 14:58:31;06/04/2025;Wing air;Departure;77;3;100; Rp1.067.100 ;RIPALDI;Berjadwal;AAP-BEJ;IW1484;
4/6/2025 15:01:19;06/04/2025;Super Air Jet;Arrival;185;15;99;;RIPALDI;Berjadwal;SUB-AAP;IU642;
4/6/2025 15:07:18;06/04/2025;Batik Air;Arrival;157;140;99;;RIPALDI;Berjadwal;CGK-AAP;ID6256;
4/6/2025 15:12:17;06/04/2025;Super Air Jet;Arrival;184;254;99;;RIPALDI;Berjadwal;YIA-AAP;IU658;
4/6/2025 17:32:40;06/04/2025;Super Air Jet;Departure;183;0;100; Rp132.130 ;RIPALDI;Berjadwal;AAP-SUB;IU643; Rp875.100 
4/6/2025 17:35:52;06/04/2025;Batik Air;Arrival;156;16;97;;RIPALDI;Berjadwal;CGK-AAP;ID6676;
4/1/2025 14:18:05;1 April 2025;Batik Air;Departure;159;35;102; Rp1.840.700 ;RISMA AMANDA E;Berjadwal;AAP-CGK;ID 6257; Rp718.760 
4/1/2025 14:20:55;1 April 2025;Batik Air;Arrival;159;2603;72; Rp1.840.700 ;RISMA AMANDA E;Berjadwal;CGK-AAP;ID 6256; Rp718.760 
3/23/2025 8:41:53;23 March 2025;Super Air Jet;Arrival;160;2124;89; Rp1.518.600 ;RIZKY;Berjadwal;SUB-AAP;IU640; Rp792.000 
3/23/2025 9:38:42;23 March 2025;Citilink;Arrival;113;2516;63; Rp-   ;RIZKY;Berjadwal;SUB-AAP;QG460; Rp1.518.600 
4/7/2025 13:22:46;07/04/2025;Super Air Jet;Departure;180;1;98; Rp1.379.180 ;RIZKY;Berjadwal;AAP-YIA;IU 659;
3/24/2025 13:58:26;24 March 2025;Wing air;Departure;74;10;100; Rp1.418.700 ;RORA / INDRA;Berjadwal;AAP-BEJ;IW1484; Rp1.234.400 
3/24/2025 14:00:29;24 March 2025;Super Air Jet;Departure;183;69;100; Rp1.518.600 ;RORA / INDRA;Berjadwal;AAP-SUB;IU641; Rp1.518.600 
3/24/2025 14:03:07;24 March 2025;Batik Air;Departure;162;44;100; Rp2.110.700 ;RORA / INDRA;Berjadwal;AAP-CGK;ID6257; Rp1.733.300 
3/24/2025 14:11:26;24 March 2025;Super Air Jet;Arrival;170;2829;94;;RORA / INDRA;Berjadwal;YIA-AAP;IU658;
3/24/2025 14:13:36;24 March 2025;Smart Aviation;Arrival;12;0;100;;RORA / INDRA;Perintis;DTD-AAP;PK-SNT;
3/24/2025 16:09:33;24 March 2025;Smart Aviation;Departure;12;0;92; Rp525.560 ;RORA / INDRA;Perintis;AAP-WALW;PK-SNT; Rp525.560 
3/24/2025 16:11:32;24 March 2025;Smart Aviation;Arrival;12;0;12; Rp515.560 ;RORA / INDRA;Perintis;WALW - AAP;PK-SNT; Rp515.560 
3/24/2025 16:12:49;24 March 2025;Citilink;Arrival;140;3083;76;;RORA / INDRA;Berjadwal;CGK - AAP;QG422;
3/24/2025 16:14:05;24 March 2025;Citilink;Departure;179;287;99; Rp1.799.345 ;RORA / INDRA;Berjadwal;AAP - CGK;QG423; Rp1.216.515 
3/24/2025 18:21:39;24 March 2025;Batik Air;Arrival;100;2866;63;;RORA / INDRA;Berjadwal;CGK - AAP;ID6676;
3/24/2025 18:52:41;24 March 2025;Batik Air;Departure;156;0;99; Rp2.110.700 ;RORA / INDRA;Berjadwal;AAP-CGK;ID6677; Rp1.733.300 
3/24/2025 14:45:29;24 March 2025;Super Air Jet;Departure;183;0;101; Rp1.518.600 ;RORA / INDRA;Berjadwal;AAP-SUB;IU643; Rp1.518.600 
3/22/2025 9:43:51;22 March 2025;Super Air Jet;Arrival;181;1883;100;;Rudi;Berjadwal;SUB-AAP;IU640;
3/26/2025 10:41:08;26 March 2025;Citilink;Arrival;95;1415;52;;RUSTAM HANAFI;Berjadwal;SUB-AAP;QG460;
3/26/2025 10:43:24;26 March 2025;Batik Air;Departure;157;731;100; Rp1.840.700 ;RUSTAM HANAFI;Berjadwal;CGK-AAP;ID6673;
3/26/2025 10:45:32;26 March 2025;Super Air Jet;Departure;187;12;100; Rp1.379.180 ;RUSTAM HANAFI;Berjadwal;AAP-SBY;IU659;
3/23/2025 10:21:08;23 March 2025;Super Air Jet;Departure;191;10;98; Rp1.608.354 ;SASONGKO;Berjadwal;AAP-YIA;191; Rp1.584.500 
3/23/2025 11:10:20;23 March 2025;Citilink;Departure;84;348;47; Rp2.544.885 ;SASONGKO;Berjadwal;AAP-SUB;QG460; Rp1.518.600 
4/7/2025 12:39:02;07/04/2025;Smart Aviation;Departure;0;0;0;-;SIGIT;Tidak Berjadwal;BPN-AAP;-;-
4/8/2025 9:58:15;08/04/2025;Citilink;Arrival;185;2733;100;-;siti kholifa;Berjadwal;SUB-AAP;QG460;-
4/8/2025 8:27:49;08/04/2025;Smart Aviation;Departure;10;0;83; Rp718.760 ;Siti Kholifah;Perintis;AAP-DTD;PK-SNT; Rp-   
4/8/2025 11:36:59;08/04/2025;Smart Aviation;Arrival;12;0;100;;siti kholifah;Perintis;DTD-AAP;PK SNT;
4/11/2025 8:32:25;11/04/2025;Smart Aviation;Departure;12;0;100; Rp704.330 ;Sri Lanjari;Perintis;AAP-RTU;PK-SNT; Rp704.330 
4/11/2025 9:07:26;11/04/2025;Citilink;Arrival;181;2356;100;;SRI LANJARI;Berjadwal;SUB-AAP;QG 460;
4/11/2025 10:29:12;11/04/2025;Smart Aviation;Arrival;11;0;91;;SRI LANJARI;Perintis;RTU-AAP;PK-SNT;
4/11/2025 12:01:41;11/04/2025;Smart Aviation;Arrival;13;0;100; Rp740.960 ;SRI LANJARI;Perintis;LPU-AAP;PK-SNV; Rp740.960 
4/9/2025 11:40:49;09/04/2025;Batik Air;Arrival;152;2938;97; Rp2.110.700 ;Supian Nor;Berjadwal;CGK-AAP;ID6672; Rp1.751.500 
4/5/2025 14:32:54;5 April 2025;Super Air Jet;Departure;182;105;-; Rp1.321.200 ;Sur Safi'i;Berjadwal;AAP-SUB;IU641; Rp875.000 
4/5/2025 17:33:04;5 April 2025;Batik Air;Departure;158;1537;0; Rp1.799.345 ;SUR SAFI'I;Berjadwal;AAP-CGK;ID6677; Rp1.216.565 
4/8/2025 15:39:56;08/04/2025;Super Air Jet;Departure;176;0;98; Rp1.321.200 ;Triono ,Palung;Berjadwal;AAP-SUB;IU643; Rp-   
4/8/2025 13:42:33;08/04/2025;Super Air Jet;Arrival;186;2931;100; Rp-   ;Triono, Palung;Berjadwal;YIA-AAP;IU658; Rp-   
4/8/2025 13:45:44;08/04/2025;Super Air Jet;Arrival;181;83;100; Rp-   ;Triono, Palung;Tidak Berjadwal;SUB-AAP;IU642; Rp-   
4/8/2025 13:50:21;08/04/2025;Smart Aviation;Departure;9;0;75; Rp747.320 ;Triono, Palung;Perintis;AAP-LPU;PK-SNT; Rp-   
4/8/2025 14:54:12;08/04/2025;Wing air;Departure;74;18;100; Rp1.418.700 ;Triono, Palung;Berjadwal;AAP-BEJ;IW1484; Rp1.234.400 
4/8/2025 15:01:20;08/04/2025;Wing air;Arrival;73;11;100; Rp-   ;Triono, Palung;Berjadwal;BEJ-AAP;IW1485; Rp-   
4/8/2025 15:23:52;08/04/2025;Super Air Jet;Departure;182;54;99; Rp1.321.200 ;Triono, Palung;Tidak Berjadwal;AAP-SUB;IU641; Rp-   
4/8/2025 16:26:03;08/04/2025;Citilink;Arrival;180;1787;99; Rp-   ;Triono, Palung;Berjadwal;CGK-AAP;QG422; Rp-   
4/8/2025 17:01:49;08/04/2025;Citilink;Departure;184;181;99; Rp1.799.345 ;Triono, Palung;Berjadwal;AAP-CGK;QG423; Rp-   
4/8/2025 17:08:17;08/04/2025;Super Air Jet;Arrival;181;0;99; Rp-   ;Triono, Palung;Tidak Berjadwal;SUB-AAP;IU2642; Rp-   
4/8/2025 17:37:58;08/04/2025;Smart Aviation;Arrival;11;0;83; Rp-   ;Triono, Palung;Tidak Berjadwal;LPU-AAP;PK-SNT; Rp-   
4/8/2025 18:46:31;08/04/2025;Batik Air;Arrival;154;583;99; Rp-   ;Triono, Palung;Berjadwal;CGK-AAP;ID6676; Rp-   
4/8/2025 18:48:01;08/04/2025;Batik Air;Departure;154;69;97; Rp-   ;Triono, Palung;Berjadwal;AAP-CGK;ID6677; Rp-   
3/24/2025 8:12:13;24 March 2025;Smart Aviation;Departure;11;0;83; Rp747.320 ;UJANG;Perintis;AAP-LPU;PKSNT; Rp747.320 
3/24/2025 9:28:23;24 March 2025;Citilink;Arrival;128;1931;70; Rp1.518.515 ;UJANG;Berjadwal;CGK-AAP;QG460; Rp792.000 
3/24/2025 9:59:24;24 March 2025;Smart Aviation;Arrival;12;0;100; Rp714.920 ;UJANG;Perintis;DTD-AAP;PK-SNT; Rp714.920 
3/24/2025 11:03:53;24 March 2025;Citilink;Departure;185;150;99; Rp1.518.515 ;UJANG;Berjadwal;AAP-SUB;QG461; Rp792.000 
4/1/2025 15:45:19;1 April 2025;Super Air Jet;Arrival;67;2818;37; Rp1.840.700 ;VERNALDY;Berjadwal;SUB-AAP;IU 658; Rp718.000 
4/1/2025 15:48:12;1 April 2025;Super Air Jet;Departure;187;-;99; Rp1.840.700 ;VERNALDY;Berjadwal;AAP-SUB;IU 643; Rp718.000 
3/30/2025 14:35:36;30 March 2025;Batik Air;Arrival;74;1320;96; Rp1.840.700 ;WAHYU;Berjadwal;CGK-AAP;ID6256; Rp-   
3/30/2025 14:45:43;30 March 2025;Super Air Jet;Arrival;59;36;31; Rp1.321.130 ;WAHYU;Berjadwal;SUB-AAP;IU658; Rp-   
3/30/2025 14:51:23;30 March 2025;Super Air Jet;Departure;182;42;99; Rp1.321.130 ;WAHYU;Berjadwal;AAP-SUB;IU641; Rp-   
3/30/2025 15:55:13;30 March 2025;Citilink;Departure;185;1608;100; Rp1.799.345 ;WAHYU;Berjadwal;AAP-CGK;QG423; Rp-   
4/1/2025 10:48:47;1 April 2025;Super Air Jet;Arrival;170;35;92; Rp1.321.130 ;Winda;Berjadwal;SUB-AAP;IU640; Rp1.321.300 
3/27/2025 8:33:22;27 March 2025;Batik Air;Arrival;70;2965;44; Rp2.110.700 ;YENI;Berjadwal;CGK - AAP;ID - 6672; Rp1.733.300 
3/27/2025 9:15:45;27 March 2025;Batik Air;Departure;156;644;98; Rp2.110.700 ;YENY;Berjadwal;AAP-CGK;ID6673; Rp1.733.300 
3/27/2025 11:08:42;27 March 2025;Citilink;Departure;185;207;100; Rp1.518.515 ;yeny;Berjadwal;AAP-SUB;QG461; Rp1.518.515 
3/27/2025 12:17:17;27 March 2025;Super Air Jet;Arrival;162;417;88; Rp1.518.600 ;YENY;Berjadwal;SUB - AAP;IU642; Rp1.518.600 
3/26/2025 14:25:49;26 March 2025;Batik Air;Arrival;103;2983;64%; Rp1.840.700 ;Yogik;Berjadwal;CGK-AAP;ID-6256;-
